Value,Time
1487.5,1943.0
1488.5,1945.0
1490.25,1948.0
1493.25,1950.0
1494.0,1953.0
1494.0,1955.0
1493.5,1957.25
1492.0,1960.0
1492.75,1963.0
1494.5,1966.0
1496.75,1968.0
1498.0,1970.25
1498.25,1973.0
1495.0,1975.0
1493.0,1978.0
1494.75,1980.0
1496.75,1982.25
1498.0,1985.0
1500.5,1987.0
1500.75,1990.0
1500.0,1992.0
1498.0,1994.5
1497.5,1997.0
1497.75,1999.0
1499.25,2002.0
1499.0,2004.0
1497.25,2007.75
1496.0,2010.0
1494.5,2012.0
1492.25,2015.0
1489.75,2017.0
1490.0,2019.75
1490.75,2022.0
1491.25,2024.0
1491.5,2027.0
1492.5,2029.0
1493.5,2031.75
1493.0,2034.0
1493.0,2036.0
1492.75,2039.0
1491.0,2041.0
1491.75,2044.0
1491.25,2046.0
1489.75,2049.25
1488.0,2052.0
1486.75,2054.0
1487.5,2057.0
1487.0,2059.0
1488.25,2061.25
1488.25,2064.0
1489.75,2066.0
1493.75,2069.0
1495.0,2071.0
1494.5,2073.25
1492.75,2076.0
1492.0,2078.0
1491.75,2081.0
1491.75,2083.0
1489.25,2085.25
1490.0,2088.0
1489.75,2091.0
1487.75,2094.0
1490.75,2096.0
1500.75,2098.5
1500.75,2101.0
1496.0,2103.0
1494.75,2106.0
1494.5,2108.0
1496.5,2110.75
1496.25,2113.0
1493.5,2115.0
1491.25,2118.0
1488.5,2120.0
1489.25,2122.75
1486.25,2125.0
1484.75,2127.0
1485.75,2130.0
1486.5,2132.0
1487.75,2136.0
1489.25,2138.0
1489.0,2140.0
1488.25,2143.0
1490.0,2145.0
1492.5,2148.0
1492.0,2150.0
1493.75,2152.25
1496.25,2155.0
1501.5,2157.0
1503.5,2160.0
1503.25,2162.0
1499.25,2164.25
1496.0,2167.0
1493.0,2169.0
1492.5,2172.0
1491.0,2174.0
1494.0,2177.5
1493.25,2180.0
1499.0,2182.0
1504.75,2185.0
1504.0,2187.0
1501.25,2189.75
1503.25,2192.0
1500.5,2194.0
1500.75,2197.0
1499.75,2199.0
1495.25,2201.75
1494.75,2204.0
1498.25,2206.0
1498.25,2209.0
1494.25,2211.0
1491.25,2214.0
1488.5,2216.0
1484.0,2219.0
1484.75,2222.0
1485.25,2224.0
1485.5,2227.0
1484.25,2229.0
1489.75,2231.25
1491.5,2234.0
1488.75,2236.0
1488.5,2239.0
1488.5,2241.0
1490.75,2243.25
1490.5,2246.0
1491.0,2248.0
1490.5,2251.0
1492.5,2253.0
1499.25,2255.5
1497.25,2258.0
1496.0,2260.0
1494.25,2264.0
1493.0,2266.0
1497.0,2268.75
1497.25,2271.0
1494.5,2273.0
1494.5,2276.0
1492.25,2278.0
1487.25,2280.75
1487.0,2283.0
1492.25,2285.0
1498.25,2288.0
1496.5,2290.0
1494.25,2292.75
1491.25,2295.0
1489.25,2297.0
1486.25,2300.0
1485.0,2302.0
1482.75,2306.0
1485.75,2308.0
1490.75,2310.0
1492.0,2313.0
1489.25,2315.0
1491.75,2318.0
1491.75,2320.0
1492.75,2322.25
1491.75,2325.0
1493.5,2327.0
1493.25,2330.0
1494.25,2332.0
1493.75,2334.5
1492.75,2337.0
1498.25,2339.0
1502.0,2342.0
1500.75,2344.0
1499.5,2347.75
1503.0,2350.0
1501.75,2352.0
1495.75,2355.0
1488.5,2357.0
1484.5,2359.75
1491.5,2362.0
1496.75,2364.0
1496.75,2367.0
1495.0,2369.0
1494.0,2371.75
1494.0,2374.0
1488.75,2376.0
1482.5,2379.0
1479.25,2381.0
1488.0,2383.75
1490.75,2386.0
1494.5,2388.5
1499.5,2392.0
1502.75,2394.0
1499.0,2397.0
1491.5,2399.0
1487.75,2401.25
1483.0,2404.0
1481.0,2406.0
1480.5,2409.0
1477.25,2411.0
1478.75,2413.75
1482.5,2416.0
1494.0,2418.0
1498.0,2421.0
1496.25,2423.0
1490.5,2425.75
1484.0,2428.0
1486.0,2430.0
1484.75,2434.0
1485.25,2436.0
1490.25,2438.75
1493.75,2441.0
1496.75,2443.0
1497.75,2446.0
1497.5,2448.0
1495.5,2450.75
1493.25,2453.0
1494.25,2455.0
1494.25,2458.0
1490.25,2460.0
1495.25,2462.75
1499.5,2465.0
1500.0,2467.0
1493.75,2470.0
1493.0,2472.0
1495.25,2476.0
1493.25,2478.0
1488.5,2480.25
1487.0,2483.0
1489.25,2485.0
1489.5,2488.0
1489.25,2490.0
1490.75,2492.5
1487.25,2495.0
1484.0,2497.0
1485.75,2500.0
1484.25,2502.0
1489.25,2504.75
1488.25,2507.0
1482.0,2509.0
1480.25,2512.0
1480.75,2514.0
1487.0,2517.5
1495.75,2520.0
1496.5,2522.0
1495.75,2525.0
1491.5,2527.0
1497.25,2529.75
1498.0,2532.0
1496.25,2534.0
1495.25,2537.0
1493.75,2539.0
1495.25,2541.75
1494.5,2544.0
1490.25,2546.0
1493.25,2549.0
1496.75,2551.0
1494.0,2553.75
1493.0,2556.0
1496.0,2558.0
1493.5,2562.0
1496.25,2564.0
1494.0,2567.0
1492.0,2569.0
1495.0,2571.75
1498.75,2574.0
1498.5,2576.0
1494.5,2579.0
1490.25,2581.0
1488.25,2583.75
1487.25,2586.0
1482.25,2588.0
1483.25,2591.0
1485.5,2593.0
1495.25,2595.75
1501.0,2598.0
1494.75,2600.0
1494.5,2604.0
1494.25,2606.0
1501.25,2608.75
1507.25,2611.0
1498.0,2613.0
1488.5,2616.0
1479.0,2618.0
1477.75,2620.75
1477.25,2623.0
1483.75,2625.0
1485.75,2628.0
