Value,Time
1490.25,1489.0
1488.75,1492.0
1487.5,1495.0
1486.25,1498.0
1485.25,1500.0
1485.25,1502.25
1486.25,1505.0
1487.0,1507.0
1488.25,1510.0
1489.5,1512.0
1492.5,1514.25
1493.75,1517.0
1493.0,1519.0
1492.0,1522.0
1490.75,1524.0
1489.75,1526.25
1489.0,1529.0
1488.5,1531.0
1487.75,1534.0
1487.75,1537.0
1488.0,1539.25
1489.25,1542.0
1489.5,1544.0
1489.0,1547.0
1489.0,1549.0
1489.75,1551.5
1491.75,1554.0
1492.25,1556.0
1491.25,1559.0
1490.0,1561.0
1488.0,1563.5
1488.5,1566.0
1490.25,1568.0
1491.25,1571.0
1491.5,1573.0
1491.5,1575.75
1492.0,1579.0
1492.75,1581.0
1492.25,1584.0
1491.0,1586.0
1489.25,1589.0
1488.75,1591.0
1489.25,1593.25
1491.25,1596.0
1493.0,1598.0
1494.5,1601.0
1495.5,1603.0
1495.25,1605.25
1495.5,1608.0
1496.5,1610.0
1496.5,1613.0
1496.0,1615.0
1495.5,1617.25
1494.5,1620.0
1493.75,1623.0
1496.5,1626.0
1499.25,1628.0
1500.0,1630.25
1500.0,1633.0
1498.5,1635.0
1497.25,1638.0
1494.75,1640.0
1493.75,1642.5
1496.5,1645.0
1500.25,1647.0
1501.5,1650.0
1501.25,1652.0
1499.75,1654.5
1497.75,1657.0
1497.25,1659.0
1497.5,1662.0
1498.0,1665.0
1497.25,1667.75
1498.0,1670.0
1499.5,1672.0
1500.75,1675.0
1501.0,1677.0
1501.75,1679.75
1501.5,1682.0
1501.25,1684.0
1503.0,1687.0
1509.5,1689.0
1513.75,1692.0
1513.75,1694.0
1511.0,1696.0
1511.25,1699.0
1515.5,1701.0
1521.75,1704.0
1522.5,1707.0
1525.75,1709.25
1529.25,1712.0
1530.5,1714.0
1533.0,1717.0
1531.0,1719.0
1523.5,1721.25
1520.25,1724.0
1518.5,1726.0
1516.25,1729.0
1512.75,1731.0
1510.5,1733.25
1509.25,1736.0
1508.25,1738.0
1505.75,1741.0
1502.75,1743.0
1500.75,1745.5
1498.75,1748.0
1502.5,1751.0
1513.0,1754.0
1520.0,1756.0
1518.0,1758.5
1512.0,1761.0
1506.5,1763.0
1509.0,1766.0
1513.75,1768.0
1514.25,1770.5
1513.5,1773.0
1517.75,1775.0
1520.0,1778.0
1520.25,1780.0
1514.5,1782.75
1503.75,1785.0
1494.5,1787.0
1494.25,1790.0
1498.25,1793.0
1505.0,1796.0
1515.0,1798.0
1520.0,1800.25
1517.5,1803.0
1510.5,1805.0
1506.75,1808.0
1508.25,1810.0
1511.0,1812.25
1510.5,1815.0
1506.25,1817.0
1509.25,1820.0
1516.75,1822.0
1520.75,1824.25
1515.0,1827.0
1507.25,1829.0
1501.25,1832.0
1496.5,1835.0
1493.75,1837.5
1495.75,1840.0
1503.75,1842.0
1516.0,1845.0
1520.25,1847.0
1517.25,1849.5
1510.75,1852.0
1506.75,1854.0
1505.0,1857.0
1507.0,1859.0
1510.5,1861.5
1511.5,1864.0
1511.75,1866.0
1513.0,1869.0
1513.5,1871.0
1515.0,1873.75
1516.0,1876.0
1511.25,1879.0
1506.75,1882.0
1504.0,1884.0
1501.75,1887.0
1502.75,1889.0
1505.75,1891.25
1513.75,1894.0
1521.0,1896.0
1525.75,1899.0
1527.25,1901.0
1528.5,1903.25
1526.25,1906.0
1521.5,1908.0
1520.25,1911.0
1520.75,1913.0
1516.75,1915.25
1510.25,1918.0
1502.25,1921.0
1501.5,1924.0
1507.0,1926.0
1513.75,1928.5
1521.5,1931.0
1528.0,1933.0
1534.0,1936.0
1540.25,1938.0
1540.0,1940.5
1536.5,1943.0
1532.0,1945.0
1527.25,1948.0
1521.0,1950.0
1515.75,1952.5
1514.75,1955.0
1513.5,1957.0
1507.75,1960.0
1495.25,1963.0
1485.5,1966.0
1484.0,1968.0
1490.25,1970.25
1497.25,1973.0
1497.5,1975.0
1488.75,1978.0
1479.75,1980.0
1482.5,1982.25
1487.5,1985.0
1491.0,1987.0
1497.25,1990.0
1500.0,1992.0
1495.25,1994.25
1485.0,1997.0
1480.75,1999.0
1482.5,2002.0
1487.75,2004.0
1486.0,2007.25
1481.75,2010.0
1489.25,2012.0
1496.25,2015.0
1502.0,2017.0
1498.0,2019.25
1485.5,2022.0
1471.0,2024.0
1465.0,2027.0
1470.0,2029.0
1469.75,2031.5
1467.25,2034.0
1469.25,2036.0
1475.25,2039.0
1482.5,2041.0
1497.25,2043.5
1508.25,2046.0
1503.75,2049.0
1488.25,2052.0
1481.75,2054.0
1486.5,2056.75
1496.25,2059.0
1499.0,2061.25
1494.75,2064.0
1496.25,2066.0
1495.25,2069.0
1492.25,2071.0
1489.5,2073.25
1481.0,2076.0
1466.0,2078.0
1461.75,2081.0
1470.75,2083.0
1474.25,2085.25
1470.0,2088.0
1467.0,2091.0
1470.25,2094.0
1482.25,2096.0
1489.25,2098.25
1489.0,2101.0
1475.75,2103.0
1461.75,2106.0
1456.5,2108.0
1459.75,2110.25
1465.0,2113.0
1464.75,2115.0
1456.75,2118.0
1450.75,2120.0
1452.75,2122.25
1457.0,2125.0
1459.25,2127.0
1468.5,2130.0
1480.25,2132.0
1479.5,2135.5
1469.0,2138.0
1462.5,2140.0
1463.5,2143.0
1467.5,2145.0
1469.5,2147.75
1473.5,2150.0
1473.25,2152.25
1464.25,2155.0
1458.25,2157.0
1463.5,2159.75
1474.75,2162.0
1475.75,2164.25
1466.0,2167.0
1453.5,2169.0
1450.0,2172.0
1450.5,2174.0
1455.5,2177.25
1460.5,2180.0
1460.5,2182.0
1467.5,2185.0
1474.5,2187.0
1471.0,2189.25
1465.75,2192.0
1460.25,2194.0
1455.75,2197.0
1452.75,2199.0
1447.75,2201.25
1442.5,2204.0
1438.75,2206.0
1447.25,2209.0
1459.5,2211.0
